project_name,project_description,project_type,project_manager,region,department,project_cost,project_benefit,complexity,status,completion%,phase,year,month,start_date,end_date,planned_cost,actual_cost,fte_reduction,avg_salary,cost_variance,cost_variance_pct,fte_savings,roi_pct,roi_norm,fte_norm,variance_norm,portfolio_score,priority_rank
The Code Honors,"Is The World First Content Marketing Platform Built For Founders And Other Small-To-Medium-Business Organizations. Using Proprietary Ai, We Use Ai Technology To Power Content Marketing For Our Entrepreneurs And Smbs. Get Your Roi With Smart Content Marketing And Your Business Will Never Be The Same",WORKING CAPITAL IMPROVEMENT,Brenda Chandler,East,it," 5,896,885.00 "," 8,539,690.00 ",Medium,Cancelled,88%,Phase 3 - Plan,2022,12,12/1/2022,3/1/2023,2590349,2466459.4006120916,0,96917.80821917808,123889.59938790835,4.78,0.0,0.0,0.0,0.0,0.27058313665440326,0.081,71.5
Road-To-Success Workshop,"Works With You To Win. You Can Get Started With 10 Days Free Trial.\N-Works With Any Size Company, No Matter Your Size\N-All Features Are Accessible From Our Wordpress Plugin",COST REDUCTION,Brenda Chandler,North,operations," 4,646,988.00 "," 9,006,076.00 ",Medium,Completed,100%,Phase 2 - Develop,2022,12,12/1/2022,3/1/2023,1349851,1118654.4778953893,3,106589.58665625953,231196.5221046107,17.13,319768.76,28.59,0.3948895027624309,0.749999994136388,0.504948602979826,0.534,12.0
Code Change Group,Join Up With The Leader Of The Pack. All Founders Need To Win At Content Marketing,COST REDUCTION,Nyasia Hunter,North,credit_risk," 5,412,530.00 "," 8,527,421.00 ",Medium,In - Progress,80%,Phase 2 - Develop,2023,1,1/1/2023,5/1/2023,2692975,3118692.505529106,4,102085.42007590266,-425717.5055291061,-15.81,408341.68,13.09,0.18080110497237567,0.9577428939763933,-0.9297953867303937,0.081,71.5
Yellow Moose,Get Connected To The Right People & Knowledge,WORKING CAPITAL IMPROVEMENT,Brenda Chandler,North,credit_risk," 5,543,765.00 "," 8,769,988.00 ",Medium,On - Hold,77%,Phase 2 - Develop,2023,2,2/1/2023,6/1/2023,2400766,1942904.5053047715,2,102085.42007590266,457861.4946952285,19.07,204170.84,10.51,0.14516574585635358,0.47887144698819667,1.0,0.502,16.0
Moving Bird,"Allows You To Track And Optimize Your Content And Build A Personal Content Plan Tailored To You And Your Business Strategy. You’Ll Know How Well Your Content Is Performing And Understand How Different Versions, Versions Changes And Versions Versions Compare Against Your Content Targets.",COST REDUCTION,Deacon Delacruz,West,marketing," 4,505,069.00 "," 8,478,594.00 ",High,Completed,100%,Phase 1 - Explore,2023,5,5/1/2023,8/1/2023,1018900,952748.763154969,3,101049.38271604938,66151.23684503103,6.49,303148.15,31.82,0.4395027624309392,0.711017269862312,0.14447870723233458,0.432,21.0
Ceremony Worthy Of Time,Four-Minute Solution For Founders Of All Sizes.,PROCESS IMPROVEMENT,Kamari Norris,South,operations," 4,013,283.00 "," 8,830,540.00 ",Low,On - Hold,79%,Phase 4 - Implement,2023,7,7/1/2023,10/1/2023,2939632,3174292.9002868333,3,106589.58665625953,-234660.9002868333,-7.98,319768.76,10.07,0.13908839779005525,0.749999994136388,-0.5125150356725963,0.127,58.0
Leadership Minds,"It Just Not In The Script. Using Award-Winning Ai Technology, Helps Content Marketers Win With Content That Drives Results. Experts In Your Market Segment Align Your Content Strategy To Your Audience’S Needs.",COST REDUCTION,Aleena Khan,East,marketing," 3,107,456.00 "," 9,040,473.00 ",Low,Cancelled,82%,Phase 2 - Develop,2023,7,7/1/2023,10/1/2023,1888353,1872636.4109494411,0,101049.38271604938,15716.589050558861,0.83,0.0,0.0,0.0,0.0,0.034326077280249286,0.01,86.0
The Art Of Codes,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",INCOME GENERATION,Brenda Chandler,North,marketing," 5,643,858.00 "," 8,573,039.00 ",High,Cancelled,87%,Phase 5 - Measure,2023,7,7/1/2023,10/1/2023,623367,732323.0378477733,1,101049.38271604938,-108956.03784777329,-17.48,101049.38,13.8,0.19060773480662982,0.2370057488026211,-0.23796724360998933,0.076,73.5
The Coding Awards,"From The Wordpress Blog To The Tinder Blog, The Internet Is Flooded With Content. Growing Your Brand Online Has Never Been Easier. But, Today, Not All Content Is Good Content. Is The Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Algorithms And Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. The Result: You Eek Out A Marginal Edge In The Content Marketing",PROCESS IMPROVEMENT,Nyasia Hunter,North,marketing," 4,612,925.00 "," 8,910,680.00 ",High,Cancelled,90%,Phase 4 - Implement,2023,8,8/1/2023,11/1/2023,1800253,1471919.6453282495,3,101049.38271604938,328333.35467175045,18.24,303148.15,20.6,0.2845303867403315,0.711017269862312,0.7171019150459522,0.542,9.0
Coding League,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. -Ai Analysis Of The Whole Competitive Landscape To Cookie-Cut Your Kpis For Content Marketing -Ai-Generated Optimized Content To Help You Build Rankings Faster -Industry-Specific Knowledgebase That’S Constantly Updated With Over 1,000+ White Papers -Ai-Generated Content To",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,credit_risk," 5,949,337.00 "," 9,012,834.00 ",Medium,Cancelled,87%,Phase 4 - Implement,2023,8,8/1/2023,11/1/2023,580844,679152.765511302,3,102085.42007590266,-98308.76551130204,-16.93,306256.26,45.09,0.6227900552486187,0.7183071704822951,-0.21471289167205557,0.4,24.0
Only Project Experience,"Is An Instant Answer For Content Marketing. It Was Built By Founders Who Want To Win At Content Marketing And Who Understand The Importance Of Interrupting Through Content. Builds, Executes And Manages Long-Term Strategy, And Generates Personalized Content For Your Target Audience.",INCOME GENERATION,Nyasia Hunter,East,operations," 2,511,189.00 "," 8,776,602.00 ",High,On - Hold,91%,Phase 5 - Measure,2023,9,9/1/2023,12/1/2023,2023929,1975959.5328811025,0,106589.58665625953,47969.467118897475,2.37,0.0,0.0,0.0,0.0,0.10476851116477469,0.031,82.5
Meetup For The Good,"Is A New Content Marketing Platform That Replicates All Of The Work Of Our Competitor Top-Performing Content, Without Their Busy Workflow Of Copywriter, Editor, And Visual Designer.",INCOME GENERATION,Deacon Delacruz,East,retail_banking," 2,745,287.00 "," 8,957,341.00 ",High,On - Hold,78%,Phase 2 - Develop,2023,9,9/1/2023,12/1/2023,2582360,2730819.087395351,0,95005.38461538461,-148459.0873953509,-5.75,0.0,0.0,0.0,0.0,-0.3242445348984225,-0.097,95.0
White Feather,"The App Is The Perfect App For Marketers Who Want To Win At Content Marketing. With , You Can Use Ai To Analyze The Competition, Track Competitors’ Content, Generate Optimized Content, And Engage In Direct Competitor Outreach.",INCOME GENERATION,Yael Wilcox,South,retail_banking," 2,578,748.00 "," 9,069,084.00 ",Low,On - Hold,91%,Phase 5 - Measure,2023,9,9/1/2023,12/1/2023,884213,1051990.9167078796,2,95005.38461538461,-167777.91670787963,-18.97,190010.77,18.06,0.24944751381215466,0.4456597836069119,-0.3664381448358297,0.124,60.0
Open Source Pundits,"When Founders Want To Win At Content Marketing, They Struggle With The Lack Of Content. Offers The Solution By Employing Ai To Analyze The Competition For Your Cause And To Help You Create Optimized Content.",PROCESS IMPROVEMENT,Aleena Khan,North,retail_banking," 2,806,512.00 "," 9,016,356.00 ",Low,In - Progress,80%,Phase 2 - Develop,2023,9,9/1/2023,12/1/2023,2996655,2739777.5203661406,1,95005.38461538461,256877.47963385936,8.57,95005.38,3.47,0.04792817679558011,0.22282988007623167,0.5610375246882195,0.254,47.0
Next Gala,"Founded By Former Founders Factory Co-Founders, Is A Solution For Founders Who Want To Win At Content Marketing. We Have Used Our Proprietary Ai To Analyze The Competition For Your Topic, And Optimize Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,North,credit_risk," 3,261,249.00 "," 8,696,481.00 ",High,Completed,100%,Phase 2 - Develop,2023,11,11/1/2023,2/1/2024,601500,576418.1406999258,3,102085.42007590266,25081.859300074168,4.17,306256.26,53.13,0.7338397790055249,0.7183071704822951,0.05478045127330414,0.525,14.0
Project Explained,"It All Starts With A Simple Tagline: ""Create The Content That Matters."" It An Exciting, Lucrative Tagline That The Core Of The Company Business.",INCOME GENERATION,Brenda Chandler,North,it," 5,156,291.00 "," 8,519,274.00 ",High,Completed,100%,Phase 5 - Measure,2023,11,11/1/2023,2/1/2024,1013606,825779.1420626497,1,96917.80821917808,187826.8579373503,18.53,96917.81,11.74,0.16215469613259667,0.22731537918748396,0.4102263678284971,0.256,46.0
Commission Kings,"Is An Ai-Powered Marketing Platform That Helps Businesses Create Optimized Content Faster. It Uses Ai To Analyze The Competition To Find The Right Channels For Your Business, And Helps You Build Better Content For Any Market Using State Of The Art Ai Generation Technology.",COST REDUCTION,Deacon Delacruz,North,it," 3,014,053.00 "," 8,904,627.00 ",Low,Completed,100%,Phase 3 - Plan,2023,11,11/1/2023,2/1/2024,989940,1184390.263841598,1,96917.80821917808,-194450.26384159806,-19.64,96917.81,8.18,0.11298342541436462,0.22731537918748396,-0.4246923274712851,-0.014,88.0
Celestial Interface,"Is A Solution For Founders Who Want To Win At Content Marketing And Standing Out In A Crowded And Competitive Marketplace. Now, You Can Create Content That Is Perfectly Targeted And Optimized With State-Of-The-Art Ai Generation. Ai Wireframes Your Content And Reveals Where Your Competition Is. That Keeps You Rolling, Wireframes Your Content And Reveals Where Your Competition Is. That Keeps You Rolling, And The Ai Generates Well-Crafted Content Without Ever Needing To Touch A Keyboard. The Software Works Like Magic",PROCESS IMPROVEMENT,Brenda Chandler,North,it," 4,569,504.00 "," 8,678,737.00 ",Low,In - Progress,73%,Phase 4 - Implement,2023,11,11/1/2023,2/1/2024,2943379,3343082.8948757257,4,96917.80821917808,-399703.89487572573,-13.58,387671.23,11.6,0.1602209944751381,0.9092614932954872,-0.8729799284427382,0.075,75.5
Stratos,"Is Your End-To-End Solution For Winning At Content Marketing. ’S Proprietary Ai Will Analyze The Competition For Your Topic, And Help You Create Optimized Content Faster With State-Of-The-Art Ai Generation.",COST REDUCTION,Jaylyn Mckenzie,East,credit_risk," 2,429,395.00 "," 8,913,514.00 ",Low,In - Progress,74%,Phase 1 - Explore,2023,12,12/1/2023,3/1/2024,1639724,1548082.7219605003,4,102085.42007590266,91641.27803949965,5.59,408341.68,26.38,0.36436464088397785,0.9577428939763933,0.20015065494970233,0.493,17.0
Red Butter,"We'Re A Small Group Of Entrepreneurs Of Mixed Backgrounds That Had A Goal: To Change The Way The World Looked At The Pr And Content Marketing Industry. Our Passion For Winning Convinced Us That A New Platform Was Needed To Bridge The Gap Between Understanding How To Create Content On A Topic And Actually Creating The Content On The Topic. Learn How To Use Our State Of The Art Ai To Reduce Your Wait Time From Months To Hours, For A Better Return On Your Content Campaign.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,East,retail_banking," 4,603,061.00 "," 8,654,153.00 ",Medium,Completed,100%,Phase 3 - Plan,2024,2,2/1/2024,5/1/2024,2911427,2833519.3460461674,4,95005.38461538461,77907.65395383257,2.68,380021.54,13.41,0.1852209944751381,0.8913195672138238,0.17015550522694886,0.393,26.0
Smart Brief Leadership,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",PROCESS IMPROVEMENT,Kamari Norris,South,retail_banking," 4,505,046.00 "," 9,026,066.00 ",High,Cancelled,78%,Phase 4 - Implement,2024,3,3/1/2024,6/1/2024,1244198,1362032.4824875533,4,95005.38461538461,-117834.48248755326,-9.47,380021.54,27.9,0.3853591160220994,0.8913195672138238,-0.2573583580466594,0.344,31.0
A Night To Celebrate,"Is A Global Content Marketing Software Company Offering A Saas Platform For Fast, Scalable, And Reliable Content Marketing. The Platform Is Specifically Designed For Top Ceos, Design Agencies, And Developers Who Want To Compete Effectively In Today’S Customer-Focused World.",COST REDUCTION,Nyasia Hunter,North,credit_risk," 2,706,279.00 "," 8,547,124.00 ",Medium,In - Progress,86%,Phase 4 - Implement,2024,4,4/1/2024,7/1/2024,1198120,1422030.4002604198,2,102085.42007590266,-223910.40026041982,-18.69,204170.84,14.36,0.19834254143646407,0.47887144698819667,-0.4890352275844113,0.076,73.5
Fast Ball,"Uses Continuous Continuous Learning Algorithms To Constantly Improve The Recommendations; We Constantly See Product Changes And Improvements. The More You Use Our Platform, The More We Learn Which Leads To Our Clients Benefiting More And More.",WORKING CAPITAL IMPROVEMENT,Yael Wilcox,North,credit_risk," 4,426,475.00 "," 8,515,880.00 ",High,Cancelled,83%,Phase 3 - Plan,2024,7,7/1/2024,10/1/2024,1049927,1156018.1524911234,0,102085.42007590266,-106091.15249112342,-10.1,0.0,0.0,0.0,0.0,-0.23171014317712402,-0.07,93.0
The Network,"Works With A Variety Of Industries From Startups To Established Businesses. It Is Perfect For High-Volume Emailers, Bloggers, Tradeshows, And Content Marketers Who Would Like To Optimize Their Content With Competitive Analysis And Ai Generation.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,North,operations," 5,418,933.00 "," 8,846,243.00 ",Medium,On - Hold,91%,Phase 4 - Implement,2024,8,8/1/2024,11/1/2024,1427909,1178589.9519826667,1,106589.58665625953,249319.04801733326,17.46,106589.59,9.04,0.12486187845303866,0.25000000586361215,0.5445294066129983,0.288,39.0
Practice To Perfect,"Instantly Win At Content Marketing. With 15 Five, You Can Now Generate Content With Artificial Intelligence Instead Of Human Labor. Analyzes The Competition For Your Business Topic, Helps You Structure Your Content Faster, Create Content Faster, And Increase Your Chances Of Success.",INCOME GENERATION,Yael Wilcox,South,marketing," 3,242,647.00 "," 8,531,617.00 ",Low,Completed,100%,Phase 3 - Plan,2024,9,9/1/2024,12/1/2024,2770820,2518528.4372720513,4,101049.38271604938,252291.56272794865,9.11,404197.53,16.05,0.22168508287292818,0.948023018664933,0.5510215767235118,0.538,11.0
Soul Spartans,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. With , You No Longer Have To Sit And Wait For Your Content To Be Used.",INCOME GENERATION,Deacon Delacruz,North,operations," 2,418,301.00 "," 9,138,940.00 ",High,Cancelled,75%,Phase 4 - Implement,2024,9,9/1/2024,12/1/2024,1383195,1274863.49753272,3,106589.58665625953,108331.50246728002,7.83,319768.76,25.08,0.3464088397790055,0.749999994136388,0.2366032167421939,0.435,20.0
15 Five,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",INCOME GENERATION,Jaylyn Mckenzie,North,operations," 4,258,440.00 "," 8,577,445.00 ",Medium,In - Progress,85%,Phase 1 - Explore,2024,10,10/1/2024,1/1/2025,2982702,2908335.5594906723,4,106589.58665625953,74366.44050932769,2.49,426358.35,14.66,0.20248618784530387,1.0,0.16242125920378836,0.43,22.0
Wide Stringer,"In A Saturated Market Of Founders Turning To Content Marketing, Finding A Way To Stand Out From The Crowd Is A Competitive Advantage. ’S Ai Takes A Deep Dive Into A Topic’S Domain And Produces A Content Strategy In Minutes In A Standalone Ai Tool. Rapid, Accurate, And Tailored Content Is A Step Towards Building A Meaningful Audience That Can Amplify Your Voice.",PROCESS IMPROVEMENT,Aleena Khan,South,credit_risk," 4,009,744.00 "," 8,725,076.00 ",High,Cancelled,80%,Phase 4 - Implement,2024,10,10/1/2024,1/1/2025,2167692,2246361.616392435,1,102085.42007590266,-78669.61639243504,-3.63,102085.42,4.54,0.06270718232044198,0.23943572349409833,-0.17181968194290018,0.045,80.0
Indie Profilers,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,South,credit_risk," 5,461,756.00 "," 8,804,458.00 ",Low,Cancelled,84%,Phase 2 - Develop,2024,10,10/1/2024,1/1/2025,2661074,2365338.0490977187,0,102085.42007590266,295735.9509022813,11.11,0.0,0.0,0.0,0.0,0.6459070140832336,0.194,52.0
Leadership Insights,"Most Small And Medium-Sized Business Owners Find Themselves With Limited Resources, Working Day-To-Day, Yet Still Struggling To Keep Up With The Flow Of Content On Competitive Topics. With No Help From Remote Agency Staffing, This Is Where Comes In. Founded By Entrepreneurs With Years Of Experience Leveraging Content To Grow Their Businesses, Is A Business Development Company For Organizations That Want To Win At Content Marketing. With Our Proprietary Ai Technology, Is The Go-To Tool For Content",WORKING CAPITAL IMPROVEMENT,Kamari Norris,North,retail_banking," 3,526,630.00 "," 9,146,561.00 ",Medium,Completed,100%,Phase 3 - Plan,2024,11,11/1/2024,3/1/2025,2241910,2379706.494285429,3,95005.38461538461,-137796.4942854289,-6.15,285016.15,11.98,0.1654696132596685,0.6684896636831437,-0.30095672137084145,0.176,53.0
Gob Geeklords,You Work Hard To Build Your Company - Now Come Reap The Rewards. Has Made It Easy For You To Win The Battle For Attention Across The Web By Creating Optimized Content For Your Topic.,PROCESS IMPROVEMENT,Kamari Norris,North,it," 5,732,006.00 "," 9,081,480.00 ",High,Completed,100%,Phase 2 - Develop,2024,11,11/1/2024,3/1/2025,1057022,879747.2743671471,2,96917.80821917808,177274.72563285287,16.77,193835.62,22.03,0.3042817679558011,0.4546307583749679,0.387179808057138,0.374,28.0
Java Dalia,Is A Software-As-A-Service Startup That Uses Proprietary Ai To Generate Content For You. Our Solutions Have Helped Thousands Of Founders Increase Their Private Company Content Marketing Efficiency By 30-60% While Generating 80-100% Roi On Their Marketing Spend.,PROCESS IMPROVEMENT,Aleena Khan,East,credit_risk," 2,781,408.00 "," 9,073,188.00 ",Low,Cancelled,73%,Phase 5 - Measure,2024,11,11/1/2024,3/1/2025,2959595,3180418.375210707,0,102085.42007590266,-220823.37521070708,-7.46,0.0,0.0,0.0,0.0,-0.4822929592664179,-0.145,98.0
Skill Up,"The Current Reality Of Content Marketing Is That Content Is Now Abundant, And Your Competitors Are Working Hard To Make Their Content As Good As Your Best Material. But What Works For Your Competitors May Not Work For You. We Use Proprietary Ai To Analyze The Competition For Your Topic And Help You Create Optimized Content Faster With State Of The Art Ai Generation.",INCOME GENERATION,Kamari Norris,North,marketing," 3,678,091.00 "," 8,985,903.00 ",Medium,On - Hold,89%,Phase 2 - Develop,2024,12,12/1/2024,3/1/2025,2654733,2979785.3248974658,0,101049.38271604938,-325052.32489746576,-12.24,0.0,0.0,0.0,0.0,-0.7099359274879273,-0.213,99.0
Excel And Elevate Training,"We’Re A Content Marketing Software That Is Part Machine Learning, Part Data Analytics, And Part Human Strategic Insight. We Help You Keep Track Of The Competition, And Generate Content That Changes The Way They Th About Your Topic. Our Ai Engine Is Designed To Understand The Preferences Of The People Most Likely To Buy, And To Help You Place Better Outreach.",PROCESS IMPROVEMENT,Aleena Khan,West,marketing," 4,434,679.00 "," 9,097,786.00 ",High,On - Hold,86%,Phase 5 - Measure,2024,12,12/1/2024,3/1/2025,679078,678867.2234181901,1,101049.38271604938,210.776581809856,0.03,101049.38,14.88,0.20552486187845304,0.2370057488026211,0.00046035009331841186,0.153,55.0
Wombat,"Is The Only Ai Platform That Uses Ai For Content. We Are Building A Product To Help Founders Win With Content Marketing. Right Now, Founders Are Using Quick Tricks To Create Low Quality Content Fast. But, Big Brands Are Crushing Them With Ai-Based Content Generation That Looks Customized For The Audience, Is Optimized For The Content Strategy, And Is Written By An Ai. We Are Creating A Product That Can Compete With These Ai-Powered Businesses By Leveraging Our Ai To Analyze The Competition, Create Optimized",INCOME GENERATION,Aleena Khan,West,credit_risk," 3,652,611.00 "," 9,115,922.00 ",Low,Completed,100%,Phase 5 - Measure,2024,12,12/1/2024,3/1/2025,909446,1053155.6769344865,1,102085.42007590266,-143709.6769344865,-15.8,102085.42,9.69,0.13383977900552485,0.23943572349409833,-0.31387150612030734,0.031,82.5
The Social Experiment,"Ai Helps You Create Effective Content That Draws Traffic, Converts Your Visitors Into Leads, And Helps You Win At Content Marketing.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,West,it," 2,906,572.00 "," 8,599,058.00 ",High,Completed,100%,Phase 5 - Measure,2025,1,1/1/2025,5/1/2025,794466,843436.5959329278,2,96917.80821917808,-48970.5959329278,-6.16,193835.62,22.98,0.31740331491712703,0.4546307583749679,-0.10695504317419102,0.231,50.0
Box Of Crayons,"Satellites Are Now Outdated. Desperate For An Edge, The Diy Founders Are Turning To Ai To Optimize Their Content Marketing. With Ai Capacity To Learn And Analyze Competitors, Now Is The Time To Enter The Game. Join Now To Win With The Ai.",PROCESS IMPROVEMENT,Brenda Chandler,West,operations," 4,286,305.00 "," 8,685,423.00 ",High,On - Hold,81%,Phase 4 - Implement,2025,1,1/1/2025,5/1/2025,852293,993296.1256526844,3,106589.58665625953,-141003.12565268436,-16.54,319768.76,32.19,0.44461325966850823,0.749999994136388,-0.307960217852654,0.31,36.0
The Domain Of Work,Get The Edge. The Promise Of The Future Is That Anyone Can Create Any Content They Want By Routing Their Personal Skills And Experience To An Area Of Expertise. What Do You Th The Most Important Skill In The Future Is? How About The One Most In Demand? Quite Possibly Both Are “Content Marketing. ”,COST REDUCTION,Brenda Chandler,West,retail_banking," 5,150,366.00 "," 8,877,742.00 ",Low,On - Hold,72%,Phase 3 - Plan,2025,4,4/1/2025,7/1/2025,1341527,1360158.2373103003,1,95005.38461538461,-18631.23731030035,-1.39,95005.38,6.98,0.09640883977900552,0.22282988007623167,-0.04069186320789449,0.093,69.0
Impact Training,"Is A Solution For Founders Who Want To Win At Content Marketing. With Industry Leading Ai, We Find The Content That Matches Your Audience, And We Help You Create Optimized Content And Scale With State Of The Art Ai Generation.",COST REDUCTION,Deacon Delacruz,North,operations," 5,620,822.00 "," 8,757,403.00 ",High,Completed,100%,Phase 5 - Measure,2025,4,4/1/2025,7/1/2025,2456326,2128712.1776794335,1,106589.58665625953,327613.8223205665,13.34,106589.59,5.01,0.0691988950276243,0.25000000586361215,0.715530408466953,0.317,35.0
An Evening Affair,"Helps You Generate The Content You Need To Succeed With Enterprise-Level Quality. Our Proprietary Ai Algorithm Delivers Customers To Your Website With Industry-Leading Efficiency. No Copy Pasting Seo Articles, No Seo Articles That Get Copied Pasted, No Guessing What To Write Or Where To Promote—15Five Captures Your Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,North,operations," 3,685,580.00 "," 8,890,269.00 ",Low,On - Hold,92%,Phase 4 - Implement,2025,5,5/1/2025,8/1/2025,546007,547136.1339477776,0,106589.58665625953,-1129.1339477775618,-0.21,0.0,0.0,0.0,0.0,-0.0024661037472241687,-0.001,87.0
Social Geek Made,"Is A Startup That Has Taken A Big Shift In The World Of Content Marketing. We Use Proprietary Ai To Analyze And Understand The Competition And Recommend Optimized And Devious Content Strategies To Win The Game. The Three Main Capabilities Of Are Content Generation, Social Media Optimization, And Content Optimization. With Our Ai Driven Content Generation And Optimization, We Help Our Entrepreneur-Founders Get Their Job Done More Efficiently And Effectively",COST REDUCTION,Brenda Chandler,West,retail_banking," 2,681,420.00 "," 9,089,277.00 ",Medium,Completed,100%,Phase 2 - Develop,2025,6,6/1/2025,9/1/2025,1504934,1359503.266821748,3,95005.38461538461,145430.7331782519,9.66,285016.15,20.96,0.2895027624309392,0.6684896636831437,0.3176304075865925,0.412,23.0
Sirius,"In Today’S World, Content Marketers Must Continuously Search For Compelling Topics, Create Content That Is Optimized For Search, And Manage Their Messaging Across Platforms. In-Focus Metrics And Data Tracking Are Tightly Controlled By The Competitive Landscape, And The The Demands Of Your Customers Mean That Your Content Marketing Strategy Is Constantly Need To Improve. Associations Now Is A Customizable, On-Demand Solution That Blends The Latest In Content Marketing Technology With Modern Tools For Entrepreneurs.",COST REDUCTION,Kamari Norris,South,marketing," 4,805,056.00 "," 8,895,516.00 ",High,Cancelled,79%,Phase 5 - Measure,2025,6,6/1/2025,9/1/2025,917620,822689.1504457406,4,101049.38271604938,94930.84955425945,10.35,404197.53,49.13,0.6785911602209944,0.948023018664933,0.20733529823784227,0.618,5.0
Fast Coding,"Is A Solution For Founders Looking To Win At Content Marketing. We Help Entrepreneurs And Startups Stay One Step Ahead By Accurately Analyzing Their Legal And Competitive Landscape, And Working With Our Proprietary Ai Engine, We Provide Custom Generated Content That Will Influence Customers.",COST REDUCTION,Aleena Khan,West,marketing," 2,693,471.00 "," 9,103,716.00 ",Low,Completed,100%,Phase 2 - Develop,2025,6,6/1/2025,9/1/2025,967149,801078.7305694266,3,101049.38271604938,166070.26943057345,17.17,303148.15,37.84,0.5226519337016574,0.711017269862312,0.36270852944538756,0.531,13.0
Super Happy Fun Time!,"Content Automation Tool Is Powered By Ai Technology That Analyzes Your Competitors, Identify Your Topic, And Creates Content Optimized For Your Audience.",WORKING CAPITAL IMPROVEMENT,Yael Wilcox,East,credit_risk," 5,880,610.00 "," 8,626,940.00 ",High,Completed,100%,Phase 5 - Measure,2025,7,7/1/2025,10/1/2025,1135379,1295178.8952880718,1,102085.42007590266,-159799.89528807183,-14.07,102085.42,7.88,0.10883977900552486,0.23943572349409833,-0.34901361468371833,0.011,85.0
Software Chasers,Reach New Audiences And Connect With Their Most Influential Audience In Minutes With This Breakthrough Automation Technology.,PROCESS IMPROVEMENT,Deacon Delacruz,East,operations," 3,932,724.00 "," 9,006,043.00 ",High,In - Progress,81%,Phase 5 - Measure,2025,7,7/1/2025,10/1/2025,837144,717618.842473903,1,106589.58665625953,119525.15752609703,14.28,106589.59,14.85,0.20511049723756905,0.25000000586361215,0.26105090493721883,0.235,48.0
The Discovery Of Era,"In Marketing, If You Want To Win, You Need To Make Sure You Know Your Competition. Our Ai Analyzes The Science Of Content Marketing, Helping You Create Optimized Content Faster, Be Ahead Of Your Competitors, And Win At Marketing.",COST REDUCTION,Yael Wilcox,West,operations," 4,908,311.00 "," 9,069,817.00 ",Medium,In - Progress,74%,Phase 3 - Plan,2025,8,8/1/2025,11/1/2025,2254408,2371950.0811241088,0,106589.58665625953,-117542.08112410875,-5.21,0.0,0.0,0.0,0.0,-0.2567197339936821,-0.077,94.0
Strive Training,"Was Built To Help Founders Create Optimized Content Faster With State Of The Art Ai Generation Through A Proprietary Ai Platform. Through A Quick Analysis Of Your Content, 20,000 Quantifiable Metrics Are Computed With A Machine Learning Algorithm To Give You A Detailed Analysis Of The Competition And Help With Content Generation.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,South,credit_risk," 5,259,436.00 "," 8,817,917.00 ",Medium,On - Hold,80%,Phase 2 - Develop,2025,8,8/1/2025,11/1/2025,1816948,1644101.807330579,2,102085.42007590266,172846.19266942097,9.51,204170.84,12.42,0.17154696132596683,0.47887144698819667,0.37750759710526544,0.326,34.0
Debug Entity,"In This Ecosystem, Association Content Is Simplified, Made Easier, And Addressed As A Holistic Activity.",INCOME GENERATION,Kamari Norris,North,credit_risk," 4,790,417.00 "," 8,872,443.00 ",Medium,In - Progress,73%,Phase 4 - Implement,2025,9,9/1/2025,12/1/2025,2726755,2763933.3659522603,1,102085.42007590266,-37178.36595226033,-1.36,102085.42,3.69,0.050966850828729274,0.23943572349409833,-0.08120002748212705,0.068,78.0
